DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
81001500,810015,3432,39034,0,43,NA,10702207,Loon,NA,2988.474145,50.56146884,119,124.94,122,9,NA,0.522231205,2.19,0.8,0.2104462,124.94,0.38,292,44.08135,-93.52223,458493.2,4881010.7
81005500,810055,3405,32001,0,24,NA,10802305,Reeds,NA,2879.113631,78.19342892,229,193.22,187,58,NA,0.448780487,2.74,1,0.5986177,110,1.6775,292,44.18697,-93.61297,450902.9,4892759.3
82002300,820023,3072,37073,0,30,NA,3002032,Lily,NA,2935.333682,17.2396236,42,42.6,35.9,51,17.7,0.613555291,1.04,0.75,0.5951925,19.7,1.83,292,45.04816,-92.82395,513881.8,4988330.7
82003400,820034,2996,37058,0,36,NA,3102022,East Boot,NA,2634.033407,18.90692992,44,46.72,32.7,27,NA,0.285577842,1.51,0.4,0.9440502,27.5,2.3,315,45.16462,-92.83114,513235.6,5001245
82004400,820044,2998,37058,0,30,NA,3102021,West Boot,NA,2671.983985,20.2747686,110,50.1,34.2,34,NA,0.349976668,1.29,0.37,0.9608771,19.1,3.5,NA,45.163,-92.83834,512731,5001088.6
82004600,820046,2999,37059,0,23,NA,3102023,Square,NA,2756.709162,82.1714923,198,203.05,195,68,NA,0.271094566,2.42,1.11,0.9001585,65,5.94,315,45.15666,-92.80379,515374.6,5000377.3
82004900,820049,3007,37076,0,24,NA,3102035,Big Carnelian,NA,2807.606881,184.9536426,442,457.03,463.6,66,26,0.400019031,5.08,1.5,0.67328665,130.5,3.7725,360,45.13598,-92.80882,515054.5,4997980.2
82005200,820052,3816,37056,0,24,NA,3202033,Big Marine,NA,2837.120074,728.1191449,1527,1799.22,1756,60,NA,0.312796344,16.75,3.2,0.8609017,1152,2.8956,360,45.22078,-92.85418,511004.4,5007242
82005400,820054,2926,37051,0,24,NA,3202005,Bone,Bonny,2853.889448,89.6177147,219,221.45,210,30,NA,0.624291336,3.01,1.13,0.4532885,124,1.22,337,45.2862,-92.85946,510980,5014818.4
82005900,820059,2937,37050,0,40,NA,3202011,Goose,NA,2874.339869,30.69947996,112,75.86,74.7,25,12.6,0.508517887,2.58,0.7,0.560431,41.3,1.6875,22,45.26756,-92.80885,514973.3,5012743.1
