max_depth_m,Parent_DOW.x,Parent_DOW.y,LAKE_AREA_MN_ACRES,LARGE_LAKE_FLAG,UTM_DATUM_ID,UTM_ZONE_ID
41.148,310216,310216,1854.21,N,83,15
9.7536,310231,310231,436.66,N,83,15
21.336,310255,310255,169.75,N,83,15
11.2776,310259,310259,714.03,N,83,15
5.7912,310260,310260,165.23,N,83,15
12.192,310268,310268,460.36,N,83,15
8.5344,310289,310289,88.78,N,83,15
10.3632,310292,310292,267.74,N,83,15
53.9496,310317,310317,202.82,N,83,15
18.288,310320,310320,88.86,N,83,15
15.24,310334,310334,1854.59,N,83,15
21.336,310339,310339,238.59,N,83,15
27.432,310349,310349,230.57,N,83,15
10.3632,310353,310353,1363.71,N,83,15
18.288,310373,310373,130.37,N,83,15
9.4488,310384,310384,1167.85,N,83,15
35.052,310392,310392,2221.17,N,83,15
36.576,310395,310395,364.22,N,83,15
47.8536,310410,310410,1743.4,N,83,15
26.8224,310422,310422,235.17,N,83,15
14.3256,310454,310454,285.32,N,83,15
13.4112,310530,310530,243.64,N,83,15
11.5824,310533,310533,490.4,N,83,15
10.9728,310538,310538,1392.46,N,83,15
31.3944,310540,310540,264.71,N,83,15
20.1168,310542,310542,253.56,N,83,15
32.004,310554,310554,1209.97,N,83,15
10.9728,310555,310555,82.72,N,83,15
10.0584,310565,310565,537.39,N,83,15
17.0688,310566,310566,149.97,N,83,15
18.8976,310575,310575,160.5,N,83,15
23.1648,310576,310576,2713.63,N,83,15
26.8224,310586,310586,461.6,N,83,15
46.3296,310620,310620,245.82,N,83,15
9.144,310622,310622,105.6,N,83,15
11.8872,310624,310624,523.35,N,83,15
27.432,310653,310653,831.62,N,83,15
13.1064,310665,310665,55.28,N,83,15
15.5448,310687,310687,304.27,N,83,15
7.62,310696,310696,256.18,N,83,15
20.7264,310717,310717,852.37,N,83,15
36.8808,310719,310719,4094.2,N,83,15
18.5928,310722,310722,1273.81,N,83,15
41.7576,310725,310725,2103.01,N,83,15
17.6784,310726,310726,516.28,N,83,15
28.956,310749,310749,211.34,N,83,15
10.0584,310758,310758,326.58,N,83,15
26.8224,310771,310771,227.42,N,83,15
11.8872,310773,310773,254.55,N,83,15
13.716,310775,310775,239.16,N,83,15
8.8392,310779,310779,491.68,N,83,15
15.24,310784,310784,626.13,N,83,15
12.8016,310786,310786,1740.06,N,83,15
16.764,310791,310791,160.39,N,83,15
28.956,310793,310793,283.55,N,83,15
